employeeid,fullname,department,jobtitle,email,gender,hiredate,terminationdate,salary,managerid,performancerating,status,hire_year,hire_month,hire_quarter,termination_year,termination_month,termination_quarter,tenure_days,tenure_years,tenure_band,performance_category,department_size,manager_span_of_control,is_active,is_terminated,has_manager,has_performance_rating,dept_avg_salary,job_avg_salary,salary_vs_dept_avg,salary_vs_job_avg,seniority_level,tenure_at_termination,early_attrition,salary_band
PNR-1035,Mary Williams,Research & Development,Research Lead,employee.1035@pnrao.com,Male,2023-02-25,,104007.0,,3.0,Active,2023,2,1,,,,977,2.67,1-3 years,Average,98,0,1,0,0,1,85614.79,109962.86,21.48,-5.42,Mid-Level,,0,100K-150K
PNR-1036,Saanvi Brown,Quality Control,Qc Manager,employee.1036@pnrao.com,Non-Binary,2019-07-03,,160457.0,,2.0,Active,2019,7,3,,,,2310,6.32,5-10 years,Below Average,108,0,1,0,0,1,109570.66,151465.96,46.44,5.94,Senior,,0,150K+
PNR-1040,Saanvi Jones,Human Resources,Hr Generalist,employee.1040@pnrao.com,Female,2025-03-14,,70705.0,PNR-2973,5.0,Active,2025,3,1,,,,229,0.63,0-1 years,Excellent,106,2,1,0,1,1,68801.09,69030.22,2.77,2.43,Junior,,0,60K-80K
PNR-1043,Priya Brown,Production,Production Worker,employee.1043@pnrao.com,Male,2022-02-19,,81407.0,PNR-1762,5.0,Active,2022,2,1,,,,1348,3.69,3-5 years,Excellent,112,2,1,0,1,1,102837.83,72077.59,-20.84,12.94,Mid-Level,,0,80K-100K
PNR-1045,Emma Kumar,Sales,Sales Associate,employee.1045@pnrao.com,Unknown,2019-07-25,2024-07-17,75369.0,PNR-2331,3.0,Terminated,2019,7,3,2024.0,7.0,3.0,1819,4.98,3-5 years,Average,104,3,0,1,1,1,121525.81,72548.22,-37.98,3.89,Mid-Level,4.980150581793292,0,60K-80K
PNR-1046,Aarav Taylor,Production,Operations Manager,employee.1046@pnrao.com,Male,2025-06-30,,174212.0,,4.0,Active,2025,6,2,,,,121,0.33,0-1 years,Good,112,0,1,0,0,1,102837.83,152476.11,69.4,14.26,Junior,,0,150K+
PNR-1047,Olivia Patel,Research & Development,Research Lead,olivia.patel@company.com,Unknown,2022-01-09,,93701.0,PNR-1410,5.0,Active,2022,1,1,,,,1389,3.8,3-5 years,Excellent,98,4,1,0,1,1,85614.79,109962.86,9.44,-14.79,Mid-Level,,0,80K-100K
PNR-1049,Emma Kumar,Research & Development,Scientist,emma.kumar@company.com,Non-Binary,2020-12-18,,59783.0,PNR-1714,2.0,Active,2020,12,4,,,,1776,4.86,3-5 years,Below Average,98,3,1,0,1,1,85614.79,72557.95,-30.17,-17.61,Mid-Level,,0,<60K
PNR-1051,Mary Patel,Marketing,Marketing Manager,employee.1051@pnrao.com,Male,2019-01-09,,178479.0,,4.0,Active,2019,1,1,,,,2485,6.8,5-10 years,Good,95,0,1,0,0,1,93037.96,150297.96,91.83,18.75,Senior,,0,150K+
PNR-1055,David Sharma,Quality Control,Qc Inspector,employee.1055@pnrao.com,Non-Binary,2021-12-22,2024-10-16,58422.0,PNR-1115,5.0,Terminated,2021,12,4,2024.0,10.0,4.0,1029,2.82,1-3 years,Excellent,108,1,0,1,1,1,109570.66,70667.88,-46.68,-17.33,Mid-Level,2.817248459958932,0,<60K
PNR-1056,Anika Smith,Quality Control,Qc Manager,employee.1056@pnrao.com,Female,2024-03-07,,162483.0,,3.0,Active,2024,3,1,,,,601,1.65,1-3 years,Average,108,0,1,0,0,1,109570.66,151465.96,48.29,7.27,Junior,,0,150K+
PNR-1058,Aditya Sharma,It Support,Help Desk Specialist,employee.1058@pnrao.com,Female,2023-02-01,,57826.0,PNR-1444,2.0,Active,2023,2,1,,,,1001,2.74,1-3 years,Below Average,98,1,1,0,1,1,96490.2,70990.91,-40.07,-18.54,Mid-Level,,0,<60K
PNR-1060,John Patel,Production,Line Supervisor,employee.1060@pnrao.com,Male,2018-04-21,2021-01-12,59687.0,PNR-2903,4.0,Terminated,2018,4,2,2021.0,1.0,1.0,997,2.73,1-3 years,Good,112,1,0,1,1,1,102837.83,69824.22,-41.96,-14.52,Mid-Level,2.729637234770705,0,<60K
PNR-1061,John Patel,It Support,It Manager,employee.1061@pnrao.com,Non-Binary,2023-05-26,,149566.0,,3.0,Active,2023,5,2,,,,887,2.43,1-3 years,Average,98,0,1,0,0,1,96490.2,145851.08,55.01,2.55,Mid-Level,,0,100K-150K
PNR-1063,Saanvi Sharma,Research & Development,Research Lead,employee.1063@pnrao.com,Male,2019-03-10,,108474.0,PNR-2496,4.0,Active,2019,3,1,,,,2425,6.64,5-10 years,Good,98,4,1,0,1,1,85614.79,109962.86,26.7,-1.35,Senior,,0,100K-150K
PNR-1068,Aarav Williams,Quality Control,Qc Manager,employee.1068@pnrao.com,Non-Binary,2021-09-30,,138563.0,,5.0,Active,2021,9,3,,,,1490,4.08,3-5 years,Excellent,108,0,1,0,0,1,109570.66,151465.96,26.46,-8.52,Mid-Level,,0,100K-150K
PNR-1070,Rohan Brown,Marketing,Marketing Coordinator,employee.1070@pnrao.com,Unknown,2018-02-23,,62075.0,PNR-1674,2.0,Active,2018,2,1,,,,2805,7.68,5-10 years,Below Average,95,4,1,0,1,1,93037.96,72400.67,-33.28,-14.26,Senior,,0,60K-80K
PNR-1072,Rohan Kumar,Production,Production Worker,employee.1072@pnrao.com,Male,2023-05-29,,56504.0,PNR-2045,3.0,Active,2023,5,2,,,,884,2.42,1-3 years,Average,112,1,1,0,1,1,102837.83,72077.59,-45.06,-21.61,Mid-Level,,0,<60K
PNR-1074,Priya Patel,Sales,Regional Sales Manager,employee.1074@pnrao.com,Non-Binary,2018-11-11,,179056.0,,2.0,Active,2018,11,4,,,,2544,6.97,5-10 years,Below Average,104,18,1,0,1,1,121525.81,145982.17,47.34,22.66,Senior,,0,150K+
PNR-1075,Mary Williams,Logistics,Logistics Coordinator,employee.1075@pnrao.com,Non-Binary,2020-12-27,,70075.0,PNR-1229,4.0,Active,2020,12,4,,,,1767,4.84,3-5 years,Good,111,1,1,0,1,1,70560.61,71165.63,-0.69,-1.53,Mid-Level,,0,60K-80K
PNR-1077,Aarav Kumar,Research & Development,Research Lead,employee.1077@pnrao.com,Male,2021-10-22,,95924.0,PNR-1013,3.0,Active,2021,10,4,,,,1468,4.02,3-5 years,Average,98,1,1,0,1,1,85614.79,109962.86,12.04,-12.77,Mid-Level,,0,80K-100K
PNR-1082,Rohan Williams,Sales,Sales Associate,employee.1082@pnrao.com,Female,2019-02-16,,75369.0,,3.0,Active,2019,2,1,,,,2447,6.7,5-10 years,Average,104,0,1,0,0,1,121525.81,72548.22,-37.98,3.89,Senior,,0,60K-80K
PNR-1083,Michael Sharma,Logistics,Warehouse Associate,employee.1083@pnrao.com,Unknown,2024-09-08,,78059.0,PNR-1942,2.0,Active,2024,9,3,,,,416,1.14,1-3 years,Below Average,111,5,1,0,1,1,70560.61,69795.08,10.63,11.84,Junior,,0,60K-80K
PNR-1084,Michael Patel,Logistics,Logistics Coordinator,employee.1084@pnrao.com,Unknown,2020-11-04,2022-12-31,72385.0,PNR-1628,5.0,Terminated,2020,11,4,2022.0,12.0,4.0,787,2.15,1-3 years,Excellent,111,3,0,1,1,1,70560.61,71165.63,2.59,1.71,Mid-Level,2.1546885694729636,0,60K-80K
PNR-1091,Priya Taylor,Logistics,Warehouse Associate,employee.1091@pnrao.com,Female,2022-07-31,,58807.0,PNR-2900,3.0,Active,2022,7,3,,,,1186,3.25,3-5 years,Average,111,3,1,0,1,1,70560.61,69795.08,-16.66,-15.74,Mid-Level,,0,<60K
PNR-1093,David Brown,Human Resources,Hr Generalist,employee.1093@pnrao.com,Female,2021-11-26,,79899.0,PNR-2081,2.0,Active,2021,11,4,,,,1433,3.92,3-5 years,Below Average,106,1,1,0,1,1,68801.09,69030.22,16.13,15.74,Mid-Level,,0,60K-80K
PNR-1096,Aditya Williams,Logistics,Logistics Coordinator,employee.1096@pnrao.com,Female,2021-07-15,2024-02-14,72385.0,PNR-1934,4.0,Terminated,2021,7,3,2024.0,2.0,1.0,944,2.58,1-3 years,Good,111,3,0,1,1,1,70560.61,71165.63,2.59,1.71,Mid-Level,2.5845311430527036,0,60K-80K
PNR-1098,Michael Wilson,Marketing,Digital Marketer,employee.1098@pnrao.com,Non-Binary,2025-05-08,,65379.0,PNR-2315,5.0,Active,2025,5,2,,,,174,0.48,0-1 years,Excellent,95,3,1,0,1,1,93037.96,67941.78,-29.73,-3.77,Junior,,0,60K-80K
PNR-1099,David Singh,Marketing,Digital Marketer,employee.1099@pnrao.com,Male,2022-02-15,,77672.0,PNR-1785,4.0,Active,2022,2,1,,,,1352,3.7,3-5 years,Good,95,1,1,0,1,1,93037.96,67941.78,-16.52,14.32,Mid-Level,,0,60K-80K
PNR-1101,Anika Taylor,Quality Control,Qc Manager,employee.1101@pnrao.com,Female,2024-03-24,,133474.0,,3.0,Active,2024,3,1,,,,584,1.6,1-3 years,Average,108,0,1,0,0,1,109570.66,151465.96,21.82,-11.88,Junior,,0,100K-150K
PNR-1107,Anika Smith,Finance,Controller,employee.1107@pnrao.com,Male,2025-08-28,,64607.0,PNR-2758,4.0,Active,2025,8,3,,,,62,0.17,0-1 years,Good,87,2,1,0,1,1,69535.21,68783.8,-7.09,-6.07,Junior,,0,60K-80K
PNR-1110,David Sharma,Human Resources,Hr Coordinator,employee.1110@pnrao.com,Unknown,2020-11-04,,77589.0,,4.0,Active,2020,11,4,,,,1820,4.98,3-5 years,Good,106,0,1,0,0,1,68801.09,68340.05,12.77,13.53,Mid-Level,,0,60K-80K
PNR-1111,Chris Singh,Sales,Sales Associate,employee.1111@pnrao.com,Female,2020-10-20,,84397.0,PNR-1515,3.0,Active,2020,10,4,,,,1835,5.02,5-10 years,Average,104,1,1,0,1,1,121525.81,72548.22,-30.55,16.33,Senior,,0,80K-100K
PNR-1112,Emma Taylor,Research & Development,Research Lead,employee.1112@pnrao.com,Female,2024-10-29,,119743.0,PNR-1339,2.0,Active,2024,10,4,,,,365,1.0,0-1 years,Below Average,98,4,1,0,1,1,85614.79,109962.86,39.86,8.89,Junior,,0,100K-150K
PNR-1114,Aarav Taylor,Human Resources,Hr Coordinator,aarav.taylor@company.com,Non-Binary,2019-07-14,,56522.0,PNR-1604,4.0,Active,2019,7,3,,,,2299,6.29,5-10 years,Good,106,1,1,0,1,1,68801.09,68340.05,-17.85,-17.29,Senior,,0,<60K
PNR-1115,Rohan Taylor,Quality Control,Qc Manager,employee.1115@pnrao.com,Non-Binary,2023-02-04,,134264.0,,3.0,Active,2023,2,1,,,,998,2.73,1-3 years,Average,108,0,1,0,0,1,109570.66,151465.96,22.54,-11.36,Mid-Level,,0,100K-150K
PNR-1116,Emma Smith,Sales,Sales Associate,employee.1116@pnrao.com,Female,2019-05-07,,82678.0,PNR-1329,5.0,Active,2019,5,2,,,,2367,6.48,5-10 years,Excellent,104,4,1,0,1,1,121525.81,72548.22,-31.97,13.96,Senior,,0,80K-100K
PNR-1117,Mary Taylor,It Support,Help Desk Specialist,employee.1117@pnrao.com,Male,2019-11-17,,81294.0,PNR-2167,4.0,Active,2019,11,4,,,,2173,5.95,5-10 years,Good,98,1,1,0,1,1,96490.2,70990.91,-15.75,14.51,Senior,,0,80K-100K
PNR-1120,Michael Wilson,Logistics,Warehouse Associate,employee.1120@pnrao.com,Female,2019-06-23,,83845.0,,3.0,Active,2019,6,2,,,,2320,6.35,5-10 years,Average,111,0,1,0,0,1,70560.61,69795.08,18.83,20.13,Senior,,0,80K-100K
PNR-1121,Aditya Smith,Research & Development,Scientist,employee.1121@pnrao.com,Female,2019-07-29,,73270.0,PNR-1809,2.0,Active,2019,7,3,,,,2284,6.25,5-10 years,Below Average,98,2,1,0,1,1,85614.79,72557.95,-14.42,0.98,Senior,,0,60K-80K
PNR-1123,John Smith,Logistics,Logistics Coordinator,employee.1123@pnrao.com,Female,2019-10-30,,76396.0,PNR-2047,2.0,Active,2019,10,4,,,,2191,6.0,5-10 years,Below Average,111,1,1,0,1,1,70560.61,71165.63,8.27,7.35,Senior,,0,60K-80K
PNR-1125,Saanvi Smith,Research & Development,Lab Technician,employee.1125@pnrao.com,Non-Binary,2020-11-24,,55229.0,PNR-2515,4.0,Active,2020,11,4,,,,1800,4.93,3-5 years,Good,98,2,1,0,1,1,85614.79,69766.0,-35.49,-20.84,Mid-Level,,0,<60K
PNR-1129,Anika Smith,Quality Control,Qc Inspector,employee.1129@pnrao.com,Unknown,2025-06-20,,74572.0,PNR-2701,4.0,Active,2025,6,2,,,,131,0.36,0-1 years,Good,108,3,1,0,1,1,109570.66,70667.88,-31.94,5.52,Junior,,0,60K-80K
PNR-1130,Mary Patel,Human Resources,Hr Coordinator,employee.1130@pnrao.com,Male,2024-09-09,2028-10-16,65003.0,PNR-1712,3.0,Terminated,2024,9,3,2028.0,10.0,4.0,1498,4.1,3-5 years,Average,106,2,0,1,1,1,68801.09,68340.05,-5.52,-4.88,Mid-Level,4.101300479123887,0,60K-80K
PNR-1133,Michael Jones,Research & Development,Scientist,employee.1133@pnrao.com,Non-Binary,2018-08-11,,75134.0,PNR-2789,4.0,Active,2018,8,3,,,,2636,7.22,5-10 years,Good,98,3,1,0,1,1,85614.79,72557.95,-12.24,3.55,Senior,,0,60K-80K
PNR-1134,David Patel,Quality Control,Qc Manager,employee.1134@pnrao.com,Non-Binary,2025-05-14,,153762.0,,2.0,Active,2025,5,2,,,,168,0.46,0-1 years,Below Average,108,0,1,0,0,1,109570.66,151465.96,40.33,1.52,Junior,,0,150K+
PNR-1137,Aarav Brown,Marketing,Digital Marketer,employee.1137@pnrao.com,Male,2024-09-24,,64205.0,PNR-1932,5.0,Active,2024,9,3,,,,400,1.1,1-3 years,Excellent,95,2,1,0,1,1,93037.96,67941.78,-30.99,-5.5,Junior,,0,60K-80K
PNR-1139,John Kumar,Human Resources,Hr Generalist,employee.1139@pnrao.com,Unknown,2021-12-23,,68703.0,PNR-2431,5.0,Active,2021,12,4,,,,1406,3.85,3-5 years,Excellent,106,2,1,0,1,1,68801.09,69030.22,-0.14,-0.47,Mid-Level,,0,60K-80K
PNR-1140,Chris Smith,Logistics,Logistics Coordinator,employee.1140@pnrao.com,Male,2018-07-29,,72385.0,PNR-1158,4.0,Active,2018,7,3,,,,2649,7.25,5-10 years,Good,111,1,1,0,1,1,70560.61,71165.63,2.59,1.71,Senior,,0,60K-80K
PNR-1141,Emma Patel,Research & Development,Research Lead,employee.1141@pnrao.com,Unknown,2023-09-20,,115705.0,PNR-1969,,Active,2023,9,3,,,,770,2.11,1-3 years,,98,1,1,0,1,0,85614.79,109962.86,35.15,5.22,Mid-Level,,0,100K-150K
PNR-1148,Anika Brown,Logistics,Warehouse Associate,employee.1148@pnrao.com,Unknown,2022-02-06,,67731.0,PNR-1541,2.0,Active,2022,2,1,,,,1361,3.73,3-5 years,Below Average,111,1,1,0,1,1,70560.61,69795.08,-4.01,-2.96,Mid-Level,,0,60K-80K
PNR-1150,Saanvi Wilson,Sales,Sales Associate,employee.1150@pnrao.com,Non-Binary,2025-07-07,,55509.0,PNR-1209,3.0,Active,2025,7,3,,,,114,0.31,0-1 years,Average,104,2,1,0,1,1,121525.81,72548.22,-54.32,-23.49,Junior,,0,<60K
PNR-1152,John Kumar,Research & Development,Research Lead,employee.1152@pnrao.com,Female,2025-06-10,,128132.0,PNR-2701,5.0,Active,2025,6,2,,,,141,0.39,0-1 years,Excellent,98,3,1,0,1,1,85614.79,109962.86,49.66,16.52,Junior,,0,100K-150K
PNR-1154,Aarav Smith,Logistics,Warehouse Associate,employee.1154@pnrao.com,Male,2023-06-28,,71059.0,PNR-2989,3.0,Active,2023,6,2,,,,854,2.34,1-3 years,Average,111,2,1,0,1,1,70560.61,69795.08,0.71,1.81,Mid-Level,,0,60K-80K
PNR-1155,Emma Wilson,It Support,It Technician,emma.wilson@company.com,Non-Binary,2020-09-19,,56859.0,PNR-1968,2.0,Active,2020,9,3,,,,1866,5.11,5-10 years,Below Average,98,1,1,0,1,1,96490.2,71783.83,-41.07,-20.79,Senior,,0,<60K
PNR-1156,Aarav Sharma,Logistics,Logistics Coordinator,employee.1156@pnrao.com,Female,2025-07-07,,56492.0,PNR-1726,3.0,Active,2025,7,3,,,,114,0.31,0-1 years,Average,111,1,1,0,1,1,70560.61,71165.63,-19.94,-20.62,Junior,,0,<60K
PNR-1158,Mary Jones,Production,Operations Manager,employee.1158@pnrao.com,Unknown,2023-11-04,,150431.0,,5.0,Active,2023,11,4,,,,725,1.98,1-3 years,Excellent,112,0,1,0,0,1,102837.83,152476.11,46.28,-1.34,Junior,,0,150K+
PNR-1161,Sarah Brown,It Support,It Technician,employee.1161@pnrao.com,Female,2020-10-08,,63858.0,PNR-1285,2.0,Active,2020,10,4,,,,1847,5.06,5-10 years,Below Average,98,2,1,0,1,1,96490.2,71783.83,-33.82,-11.04,Senior,,0,60K-80K
PNR-1163,Olivia Wilson,Production,Line Supervisor,employee.1163@pnrao.com,Non-Binary,2025-01-29,,73261.0,,,Active,2025,1,1,,,,273,0.75,0-1 years,,112,0,1,0,0,0,102837.83,69824.22,-28.76,4.92,Junior,,0,60K-80K
PNR-1164,Aarav Patel,Quality Control,Qc Manager,employee.1164@pnrao.com,Female,2025-01-30,,151625.0,,4.0,Active,2025,1,1,,,,272,0.74,0-1 years,Good,108,0,1,0,0,1,109570.66,151465.96,38.38,0.11,Junior,,0,150K+
PNR-1165,Priya Williams,Research & Development,Scientist,employee.1165@pnrao.com,Male,2023-08-12,,68111.0,PNR-2519,3.0,Active,2023,8,3,,,,809,2.21,1-3 years,Average,98,4,1,0,1,1,85614.79,72557.95,-20.44,-6.13,Mid-Level,,0,60K-80K
PNR-1166,Emma Smith,Sales,Regional Sales Manager,employee.1166@pnrao.com,Female,2018-08-28,2022-10-24,133562.0,,2.0,Terminated,2018,8,3,2022.0,10.0,4.0,1518,4.16,3-5 years,Below Average,104,0,0,1,0,1,121525.81,145982.17,9.9,-8.51,Mid-Level,4.15605749486653,0,100K-150K
PNR-1167,Chris Smith,Logistics,Warehouse Associate,employee.1167@pnrao.com,Male,2022-02-23,2026-12-05,57951.0,PNR-2533,5.0,Terminated,2022,2,1,2026.0,12.0,4.0,1746,4.78,3-5 years,Excellent,111,1,0,1,1,1,70560.61,69795.08,-17.87,-16.97,Mid-Level,4.780287474332649,0,<60K
PNR-1168,Rohan Brown,Finance,Financial Analyst,employee.1168@pnrao.com,Non-Binary,2022-05-11,,69746.0,PNR-2354,4.0,Active,2022,5,2,,,,1267,3.47,3-5 years,Good,87,1,1,0,1,1,69535.21,70138.18,0.3,-0.56,Mid-Level,,0,60K-80K
PNR-1175,David Patel,Logistics,Logistics Coordinator,employee.1175@pnrao.com,Male,2023-08-25,,70857.0,PNR-2920,4.0,Active,2023,8,3,,,,796,2.18,1-3 years,Good,111,2,1,0,1,1,70560.61,71165.63,0.42,-0.43,Mid-Level,,0,60K-80K
PNR-1178,Chris Williams,Human Resources,Hr Generalist,employee.1178@pnrao.com,Male,2022-08-31,,68703.0,PNR-1669,5.0,Active,2022,8,3,,,,1155,3.16,3-5 years,Excellent,106,2,1,0,1,1,68801.09,69030.22,-0.14,-0.47,Mid-Level,,0,60K-80K
PNR-1181,Anika Smith,It Support,It Manager,employee.1181@pnrao.com,Female,2020-09-04,,160447.0,,5.0,Active,2020,9,3,,,,1881,5.15,5-10 years,Excellent,98,0,1,0,0,1,96490.2,145851.08,66.28,10.01,Senior,,0,150K+
PNR-1182,Rohan Singh,Production,Operations Manager,employee.1182@pnrao.com,Unknown,2019-07-22,,125541.0,,,Active,2019,7,3,,,,2291,6.27,5-10 years,,112,0,1,0,0,0,102837.83,152476.11,22.08,-17.67,Senior,,0,100K-150K
PNR-1183,Emma Smith,It Support,Help Desk Specialist,employee.1183@pnrao.com,Male,2020-09-02,,64970.0,PNR-2655,2.0,Active,2020,9,3,,,,1883,5.16,5-10 years,Below Average,98,2,1,0,1,1,96490.2,70990.91,-32.67,-8.48,Senior,,0,60K-80K
PNR-1184,Anika Sharma,Sales,Sales Associate,employee.1184@pnrao.com,Male,2024-09-29,,64258.0,PNR-1448,,Active,2024,9,3,,,,395,1.08,1-3 years,,104,3,1,0,1,0,121525.81,72548.22,-47.12,-11.43,Junior,,0,60K-80K
PNR-1186,Emma Patel,Marketing,Marketing Manager,employee.1186@pnrao.com,Female,2023-04-21,,166170.0,,4.0,Active,2023,4,2,,,,922,2.52,1-3 years,Good,95,0,1,0,0,1,93037.96,150297.96,78.6,10.56,Mid-Level,,0,150K+
PNR-1191,Emma Brown,Production,Production Worker,employee.1191@pnrao.com,Unknown,2019-10-28,,73820.0,,2.0,Active,2019,10,4,,,,2193,6.0,5-10 years,Below Average,112,0,1,0,0,1,102837.83,72077.59,-28.22,2.42,Senior,,0,60K-80K
PNR-1193,Olivia Wilson,Finance,Financial Analyst,employee.1193@pnrao.com,Female,2020-10-28,,58741.0,PNR-1846,4.0,Active,2020,10,4,,,,1827,5.0,3-5 years,Good,87,2,1,0,1,1,69535.21,70138.18,-15.52,-16.25,Mid-Level,,0,<60K
PNR-1195,John Patel,Human Resources,Hr Coordinator,employee.1195@pnrao.com,Male,2018-12-18,,72937.0,PNR-1960,2.0,Active,2018,12,4,,,,2507,6.86,5-10 years,Below Average,106,2,1,0,1,1,68801.09,68340.05,6.01,6.73,Senior,,0,60K-80K
PNR-1198,Emma Taylor,Production,Production Worker,employee.1198@pnrao.com,Female,2021-03-05,,57879.0,PNR-2938,5.0,Active,2021,3,1,,,,1699,4.65,3-5 years,Excellent,112,1,1,0,1,1,102837.83,72077.59,-43.72,-19.7,Mid-Level,,0,<60K
PNR-1199,Sarah Taylor,Marketing,Marketing Manager,employee.1199@pnrao.com,Female,2019-09-25,,178579.0,,4.0,Active,2019,9,3,,,,2226,6.09,5-10 years,Good,95,0,1,0,0,1,93037.96,150297.96,91.94,18.82,Senior,,0,150K+
PNR-1200,Rohan Smith,Production,Production Worker,employee.1200@pnrao.com,Female,2022-06-10,2023-07-24,74836.0,PNR-2727,3.0,Terminated,2022,6,2,2023.0,7.0,3.0,409,1.12,1-3 years,Average,112,1,0,1,1,1,102837.83,72077.59,-27.23,3.83,Junior,1.1197809719370295,0,60K-80K
PNR-1202,Priya Singh,Quality Control,Qc Manager,employee.1202@pnrao.com,Non-Binary,2023-09-09,,179381.0,,5.0,Active,2023,9,3,,,,781,2.14,1-3 years,Excellent,108,0,1,0,0,1,109570.66,151465.96,63.71,18.43,Mid-Level,,0,150K+
PNR-1204,Anika Kumar,Human Resources,Recruiter,employee.1204@pnrao.com,Unknown,2019-09-18,2025-02-26,55256.0,PNR-2515,4.0,Terminated,2019,9,3,2025.0,2.0,1.0,1988,5.44,5-10 years,Good,106,2,0,1,1,1,68801.09,69157.24,-19.69,-20.1,Senior,5.4428473648186175,0,<60K
PNR-1206,Olivia Singh,Finance,Financial Analyst,employee.1206@pnrao.com,Male,2024-09-01,,67284.0,PNR-1005,5.0,Active,2024,9,3,,,,423,1.16,1-3 years,Excellent,87,3,1,0,1,1,69535.21,70138.18,-3.24,-4.07,Junior,,0,60K-80K
