EmployeeID,FullName,Department,JobTitle,Email,Gender,HireDate,TerminationDate,Salary,ManagerID,PerformanceRating,Status
"PNR-1088","","Marketing","Marketing Manager","","Male"," 2025-09-11 ","","120712","","2","#N/A"
" PNR-1089 ","Aarav Brown","#N/A","Recruiter","employee.1089@pnrao.com"," Female ","","","74715","PNR-2287","2",""
"PNR-1090","","IT Support","Help Desk Specialist","employee.1090@pnrao.com"," Male ","2021-08-06","","72613"," PNR-2044 ","3","Active"
"PNR-1091","Priya Taylor","Logistics","Warehouse Associate","employee.1091@pnrao.com","Female","2022-07-31","","58807","PNR-2900","3","Active"
""," Saanvi Patel ","Marketing","Marketing Manager","employee.1092@pnrao.com","Non-binary","2021-08-14","","165872","","4","Active"
"PNR-1093","David Brown","Human Resources"," HR Generalist ","employee.1093@pnrao.com","Female","2021-11-26","  ","79899","PNR-2081","2","Active"
"PNR-1093","David Brown","Human Resources","HR Generalist","employee.1093@pnrao.com","Female","2021-11-26","","79899","PNR-2081","2","Active"
"PNR-1095","","Finance","Accountant","employee.1095@pnrao.com","Non-binary","2019-03-08","","61072"," PNR-1141 ","4","Active"
"PNR-1096","Aditya Williams","Logistics","Logistics Coordinator","employee.1096@pnrao.com","Female"," 2021-07-15 ","2024-02-14",""," PNR-1934 ","4","Terminated"
"PNR-1097","Olivia Wilson","Production","Operations Manager","employee.1097@pnrao.com","Male","#N/A","  ","","#N/A","5","Active"
"PNR-1098","Michael Wilson","Marketing","Digital Marketer","employee.1098@pnrao.com"," Non-binary "," 2025-05-08 ","",""," PNR-2315 ","5","Active"
"","David Singh","Marketing","Digital Marketer","employee.1099@pnrao.com","Male","2022-02-15","","77672","PNR-1785","4",""
"PNR-1099","David Singh","Marketing","Digital Marketer","employee.1099@pnrao.com","Male","2022-02-15","","77672","PNR-1785","4","Active"
" PNR-1101 ","Anika Taylor","Quality Control","QC Manager","employee.1101@pnrao.com","Female","2024-03-24","  ","133474","","3","Active"
"","Rohan Patel"," Production ","Operations Manager","","Female"," 2024-07-26 ","","137758","","3","Active"
"PNR-1103","Mary Jones","Quality Control","QC Inspector","employee.1103@pnrao.com","Non-binary","#N/A","","61331","","3","Active"
"PNR-1104","Chris Kumar","Quality Control","QC Manager","employee.1104@pnrao.com","Male","2023-02-03","","124955","","5",""
"","John Sharma"," IT Support ","IT Technician","employee.1105@pnrao.com","Male"," 2024-11-30 ","2029-01-26","80732","PNR-1454","5",""
"","Sarah Brown",""," QC Manager ","employee.1106@pnrao.com","","2020-04-30","","151525","","5","Active"
"PNR-1107","Anika Smith"," Finance ","Controller"," employee.1107@pnrao.com ","Male"," 2025-08-28 ","","64607","PNR-2758","4","Active"
"PNR-1108","","Logistics","Warehouse Associate","","Male","2022-12-30","2027-10-27","79681","PNR-2926","","Terminated"
"#N/A"," Aarav Sharma ","#N/A","Sales Associate"," employee.1109@pnrao.com ","Female","2025-09-09"," 2029-12-21 ","72299","PNR-1343","4","Terminated"
"PNR-1110","David Sharma","Human Resources","HR Coordinator","employee.1110@pnrao.com",""," 2020-11-04 ","","77589","#N/A","4"," Active "
"PNR-1111","Chris Singh","Sales","Sales Associate","employee.1111@pnrao.com","Female"," 2020-10-20 ","","84397","PNR-1515","3","Active"
"PNR-1112","Emma Taylor","Research & Development","Research Lead","employee.1112@pnrao.com","","2024-10-29","","119743","PNR-1339","",""
"PNR-1112","Emma Taylor","Research & Development","Research Lead","employee.1112@pnrao.com","Female","2024-10-29","","119743","PNR-1339","2","Active"
"PNR-1114","Aarav Taylor","Human Resources","HR Coordinator","","Non-binary","2019-07-14","","56522","PNR-1604","4","Active"
"PNR-1115"," Rohan Taylor ","Quality Control","QC Manager","employee.1115@pnrao.com","Non-binary","2023-02-04","","134264","","3","Active"
"PNR-1116","Emma Smith","Sales","Sales Associate","employee.1116@pnrao.com","Female","2019-05-07","  ","82678","PNR-1329","5","Active"
"PNR-1117","#N/A","IT Support","Help Desk Specialist",""," Male ","2019-11-17","","81294","PNR-2167","4","Active"
"PNR-1117","Mary Taylor","IT Support","Help Desk Specialist","employee.1117@pnrao.com","Male","2019-11-17","","81294","PNR-2167","4","Active"
"PNR-1119","Michael Jones","IT Support"," IT Manager ","#N/A","Male","2019-08-09","","152355","","",""
"PNR-1120"," Michael Wilson ","Logistics","Warehouse Associate","employee.1120@pnrao.com"," Female ","2019-06-23","","83845","","3","Active"
"PNR-1121","Aditya Smith","","Scientist","employee.1121@pnrao.com","Female","2019-07-29","","73270","PNR-1809","2","Active"
"PNR-1121","Aditya Smith","Research & Development","Scientist","employee.1121@pnrao.com","Female","2019-07-29","","73270","PNR-1809","2","Active"
"PNR-1123","John Smith","Logistics","Logistics Coordinator"," employee.1123@pnrao.com ","Female","2019-10-30","#N/A","76396"," PNR-2047 ","2"," Active "
"PNR-1124","Saanvi Williams","Finance",""," employee.1124@pnrao.com ","Non-binary"," 2023-09-16 ","","69961","PNR-1076","5","Active"
"PNR-1125","","Research & Development","#N/A","employee.1125@pnrao.com","","2020-11-24","","55229","PNR-2515","4","Active"
"PNR-1125","Saanvi Smith","Research & Development","Lab Technician","employee.1125@pnrao.com","Non-binary","2020-11-24","","55229","PNR-2515","4","Active"
"","Emma Brown","Finance","Controller","employee.1127@pnrao.com"," Female "," 2024-04-15 ","2028-08-27","66608","PNR-1851","4","Terminated"
"PNR-1128","Michael Patel"," IT Support ","","employee.1128@pnrao.com","Male","2023-12-25","","63728","#N/A","5","Active"
" PNR-1129 ","Anika Smith","Quality Control","QC Inspector","employee.1129@pnrao.com","#N/A","2025-06-20","","74572","PNR-2701","4"," Active "
" PNR-1130 ","","Human Resources","HR Coordinator","employee.1130@pnrao.com","Male","2024-09-09","#N/A","65003"," PNR-1712 ","3","Terminated"
"PNR-1130","Mary Patel","Human Resources","HR Coordinator","employee.1130@pnrao.com","Male","2024-09-09","2028-10-16","65003","PNR-1712","3","Terminated"
"PNR-1132","#N/A","Logistics","Logistics Coordinator","employee.1132@pnrao.com"," Female "," 2021-04-19 ","2022-08-05","62303","PNR-2900","4",""
"PNR-1133","Michael Jones","Research & Development","Scientist","employee.1133@pnrao.com","Non-binary","2018-08-11","  ","75134","PNR-2789","4","Active"
"","David Patel","Quality Control","","","Non-binary","2025-05-14","","","","2","Active"
"PNR-1134","David Patel","Quality Control","QC Manager","employee.1134@pnrao.com","Non-binary","2025-05-14","","153762","","2","Active"
"PNR-1136","","Research & Development","Research Lead","employee.1136@pnrao.com","","2022-10-18","","90047","PNR-1584","3"," Terminated "
"PNR-1137","Aarav Brown","Marketing","Digital Marketer","employee.1137@pnrao.com","Male","2024-09-24","","64205","PNR-1932","5"," Active "
"PNR-1137","Aarav Brown","Marketing","Digital Marketer","employee.1137@pnrao.com","Male","2024-09-24","","64205","PNR-1932","5","Active"
"PNR-1139","John Kumar"," Human Resources ","HR Generalist","employee.1139@pnrao.com","#N/A","2021-12-23","","","PNR-2431","5","Active"
"PNR-1140","Chris Smith","Logistics","Logistics Coordinator","employee.1140@pnrao.com","Male","2018-07-29","","","PNR-1158","4","Active"
"PNR-1141","Emma Patel","Research & Development","Research Lead","employee.1141@pnrao.com",""," 2023-09-20 ","","115705","PNR-1969","","Active"
"","Olivia Williams","Finance"," Controller ","employee.1142@pnrao.com","Male","2018-11-16","","73687","PNR-2533","3","Active"
" PNR-1143 ","Sarah Wilson","Marketing"," Marketing Manager ","employee.1143@pnrao.com","Female","","","148178","","4","Active"
"PNR-1144"," Saanvi Smith ","Logistics","#N/A","#N/A","#N/A","2022-02-03","  ","70846","PNR-2724","3","Active"
"#N/A","Anika Sharma","","#N/A","employee.1145@pnrao.com","Non-binary","2025-09-04","","66878","PNR-1848","2","Active"
"","Aditya Kumar","Production","Operations Manager","employee.1146@pnrao.com"," Non-binary "," 2025-06-29 ","","179011","","4",""
"PNR-1147"," Rohan Wilson ","Marketing","Marketing Coordinator","employee.1147@pnrao.com","","2019-03-16","","78985","PNR-2789","2",""
"PNR-1148","Anika Brown","Logistics","Warehouse Associate"," employee.1148@pnrao.com ","","2022-02-06","","67731","PNR-1541","2","Active"
"PNR-1149"," Anika Smith "," Marketing "," Marketing Manager ","employee.1149@pnrao.com"," Non-binary ","2018-12-28","","138683","","4",""
"PNR-1150","Saanvi Wilson"," Sales ","Sales Associate","employee.1150@pnrao.com","Non-binary","2025-07-07","","55509"," PNR-1209 ","3","Active"
"","Rohan Singh","IT Support","IT Manager","employee.1151@pnrao.com","Female","2025-05-08","","142195","","2","Active"
"","John Kumar","Research & Development","Research Lead"," employee.1152@pnrao.com ","Female","2025-06-10","","128132"," PNR-2701 ","5"," Active "
"PNR-1152","John Kumar","Research & Development","Research Lead","employee.1152@pnrao.com","Female","2025-06-10","","128132","PNR-2701","5","Active"
"PNR-1154","Aarav Smith","Logistics","Warehouse Associate"," employee.1154@pnrao.com ","Male"," 2023-06-28 ","","","PNR-2989","3","Active"
"PNR-1155","Emma Wilson","IT Support","IT Technician",""," Non-binary ","2020-09-19","","56859","PNR-1968","2","Active"
"PNR-1156"," Aarav Sharma ","Logistics"," Logistics Coordinator ","employee.1156@pnrao.com","Female","2025-07-07","","56492","PNR-1726","3","Active"
"PNR-1157","David Sharma","Marketing","Marketing Coordinator"," employee.1157@pnrao.com ","Male","2018-06-02","","55449","PNR-1825","3",""
"PNR-1158"," Mary Jones ","Production","Operations Manager","employee.1158@pnrao.com","#N/A","2023-11-04","","150431","","5","Active"
"PNR-1159","Mary Sharma","Research & Development","","employee.1159@pnrao.com","Male","2021-11-12","","64507","PNR-1238","4","Active"
" PNR-1160 ","Saanvi Jones"," Marketing ","","#N/A","#N/A"," 2023-11-10 ","","142418","","4","Active"
"PNR-1161","Sarah Brown","IT Support","IT Technician",""," Female ","2020-10-08","","63858","PNR-1285","","Active"
"PNR-1161","Sarah Brown","IT Support","IT Technician","employee.1161@pnrao.com","Female","2020-10-08","","63858","PNR-1285","2","Active"
"PNR-1163","Olivia Wilson","Production","Line Supervisor","employee.1163@pnrao.com","Non-binary","2025-01-29","","73261","#N/A","","Active"
"PNR-1164","Aarav Patel","Quality Control","QC Manager","employee.1164@pnrao.com","Female"," 2025-01-30 ","","","#N/A","4","Active"
"PNR-1165","Priya Williams","Research & Development","Scientist","employee.1165@pnrao.com","Male","2023-08-12","","68111","PNR-2519","3","Active"
"PNR-1166","Emma Smith","Sales","Regional Sales Manager","employee.1166@pnrao.com","Female","2018-08-28","2022-10-24","133562","","2","Terminated"
" PNR-1167 "," Chris Smith ","Logistics","Warehouse Associate","employee.1167@pnrao.com","Male","2022-02-23","2026-12-05","57951","PNR-2533","5","Terminated"
"PNR-1168","Rohan Brown","Finance","Financial Analyst","","Non-binary","2022-05-11","","69746"," PNR-2354 ","4"," Active "
"PNR-1168","Rohan Brown","Finance","Financial Analyst","employee.1168@pnrao.com","Non-binary","2022-05-11","","69746","PNR-2354","4","Active"
" PNR-1170 ","#N/A"," IT Support ","","employee.1170@pnrao.com"," Non-binary ","2025-03-12","","125083","","2","Active"
" PNR-1171 ","","","#N/A","employee.1171@pnrao.com","Male"," 2019-01-09 ","","177858","","5","Active"
"PNR-1172","Saanvi Williams"," Research & Development ","Scientist","employee.1172@pnrao.com","Non-binary","2024-03-21","","72662","PNR-2121","4",""
"PNR-1173","Aditya Sharma","Finance","Financial Analyst","employee.1173@pnrao.com","Non-binary","2024-10-29","","72065","PNR-2828","4",""
" PNR-1174 "," David Kumar ","IT Support","#N/A","employee.1174@pnrao.com"," Female ","2021-01-27","","75888","PNR-2911","","Active"
"PNR-1175","","","Logistics Coordinator","employee.1175@pnrao.com","Male","2023-08-25","","70857","PNR-2920","4","Active"
"PNR-1175","David Patel","Logistics","Logistics Coordinator","employee.1175@pnrao.com","Male","2023-08-25","","70857","PNR-2920","4","Active"
"PNR-1177"," Rohan Patel ","","Help Desk Specialist","employee.1177@pnrao.com"," Female ","2024-03-15","","73833","PNR-1733","4","Active"
"PNR-1178","Chris Williams","Human Resources","HR Generalist","employee.1178@pnrao.com","Male","2022-08-31","  ","","PNR-1669","5","Active"
"PNR-1179","David Wilson","","Warehouse Associate","","Male","2019-02-07","","55086","PNR-1789","2","Active"
"PNR-1180","Aarav Jones","#N/A","Scientist","employee.1180@pnrao.com","Non-binary","2020-11-06","","82901","PNR-1162","5",""
"PNR-1181","Anika Smith","IT Support","IT Manager","employee.1181@pnrao.com"," Female "," 2020-09-04 ","","160447","","5"," Active "
"PNR-1182"," Rohan Singh ","Production","Operations Manager","employee.1182@pnrao.com","","2019-07-22","","125541","","","Active"
"PNR-1183","Emma Smith","IT Support","Help Desk Specialist","employee.1183@pnrao.com","Male"," 2020-09-02 ","","64970","PNR-2655","2","Active"
"PNR-1184","Anika Sharma"," Sales ","Sales Associate"," employee.1184@pnrao.com "," Male ","2024-09-29","","64258"," PNR-1448 ","","Active"
"PNR-1185","Rohan Singh","Production","Production Worker","employee.1185@pnrao.com","Female","","","59246","","3","Active"
"PNR-1186","Emma Patel","#N/A"," Marketing Manager ","employee.1186@pnrao.com","Female"," 2023-04-21 ","","166170","","4"," Active "
"PNR-1186","Emma Patel","Marketing","Marketing Manager","employee.1186@pnrao.com","Female","2023-04-21","","166170","","4","Active"
"PNR-1188","","Research & Development","Lab Technician"," employee.1188@pnrao.com "," Male "," 2023-11-25 ","","58515","PNR-2324","3",""
"PNR-1189","Chris Smith"," Logistics ","Warehouse Associate","employee.1189@pnrao.com","Non-binary","","","62294","PNR-1326","2","Active"
"PNR-1190","","Quality Control","","employee.1190@pnrao.com",""," 2019-03-19 ","",""," PNR-1912 ","3","Active"
"PNR-1191"," Emma Brown ","Production","Production Worker","employee.1191@pnrao.com","#N/A"," 2019-10-28 ","","","#N/A","2","Active"
"PNR-1192","David Singh","#N/A"," IT Technician ","#N/A","Non-binary"," 2022-11-09 ","","65184","PNR-1119","4","Active"
"PNR-1193","Olivia Wilson","Finance","Financial Analyst","employee.1193@pnrao.com","Female","2020-10-28","","58741","PNR-1846","4","Active"
""," Aditya Singh ","IT Support","IT Technician","","Non-binary","2022-02-26","","58633","PNR-1847","5","Active"
"PNR-1195","John Patel","Human Resources","","employee.1195@pnrao.com","#N/A","2018-12-18","","72937","PNR-1960","2","Active"
"PNR-1195","John Patel","Human Resources","HR Coordinator","employee.1195@pnrao.com","Male","2018-12-18","","72937","PNR-1960","2","Active"
"PNR-1197"," David Sharma ","","Accountant","employee.1197@pnrao.com","Female"," 2025-10-13 ","","76274","PNR-2858","2","Active"
"PNR-1198"," Emma Taylor "," Production ","Production Worker","employee.1198@pnrao.com","Female","2021-03-05","#N/A","57879","PNR-2938","5","Active"
"PNR-1199","Sarah Taylor","Marketing","Marketing Manager","employee.1199@pnrao.com"," Female ","2019-09-25","","178579","","4","Active"
"PNR-1199","Sarah Taylor","Marketing","Marketing Manager","employee.1199@pnrao.com","Female","2019-09-25","","178579","","4","Active"
"PNR-1200","Rohan Smith","Production","Production Worker","employee.1200@pnrao.com","Female","2022-06-10","2023-07-24","74836","PNR-2727","3","Terminated"
"PNR-1202","Priya Singh","Quality Control","QC Manager","employee.1202@pnrao.com","Non-binary","2023-09-09","","179381","","","Active"
"PNR-1202","Priya Singh","Quality Control","QC Manager","employee.1202@pnrao.com","Non-binary","2023-09-09","","179381","","5","Active"
"PNR-1204"," Anika Kumar ","Human Resources","Recruiter","employee.1204@pnrao.com","","2019-09-18","2025-02-26","55256","PNR-2515","4","Terminated"
"","Aarav Taylor","Quality Control","QC Inspector",""," Male ","2020-08-23","","60569","PNR-1044","5","#N/A"
"","","Finance","Financial Analyst","employee.1206@pnrao.com","Male","2024-09-01","","67284","PNR-1005","5","Active"
"PNR-1206","Olivia Singh","Finance","Financial Analyst","employee.1206@pnrao.com","Male","2024-09-01","","67284","PNR-1005","5","Active"
" PNR-1208 "," Anika Taylor ","Quality Control","QC Manager","employee.1208@pnrao.com"," Female "," 2019-11-03 ","","162492","","3","Active"
" PNR-1209 "," Sarah Brown ","Research & Development","Research Lead","employee.1209@pnrao.com"," Non-binary ","2021-10-22","","91854","PNR-1134","3","Active"
"","Sarah Singh","Human Resources"," HR Generalist ","","Male"," 2019-04-19 ","","57219","","5","Active"
"PNR-1211"," John Patel ","","Operations Manager","#N/A","Female","2024-12-04","","144436","","2","Active"
